Hospital,Description,CPT,Charge
Adventist Health Simi Valley,"Colonoscopy, with biopsy",45380,5987.86
Adventist Health Simi Valley,"Colonoscopy, with lesion removal, by snare technique",45385,6304.07
Adventist Health Simi Valley,"Endoscopy, Upper GI, with biopsy",43239,7501.2
Adventist Health Simi Valley,"Urinalysis, with microscopy",81000,13.5
Adventist Health Simi Valley,"Physical Therapy, Evaluation",97163,782.93
Adventist Health Simi Valley,"Physical Therapy, Evaluation",97162,782.93
Adventist Health Simi Valley,"Physical Therapy, Evaluation",97161,782.93
Adventist Health Simi Valley,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,13895.47
Adventist Health Simi Valley,"Urinalysis, with microscopy",81001,13.5
Adventist Health Simi Valley,Laparoscopic Cholecystectomy,47562,18555.24
Adventist Health Simi Valley,"Hernia Repair, Inguinal, 5 years and older",49505,16896.04
Adventist Health Simi Valley,"Excision, Breast Lesion, without preoperative radiological marker",19120,29812.05
Adventist Health Simi Valley,"Endoscopy, Upper GI, diagnostic",43235,4563.63
Adventist Health Simi Valley,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,5568.83
Adventist Health Sonora - Greenley,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,344
Adventist Health Sonora - Greenley,"Physical Therapy, Therapeutic Exercise",97110,120
Adventist Health Sonora - Greenley,"Physical Therapy, Gait Training",97116,124
Adventist Health Sonora - Greenley,"Inhalation Treatment, pressurized or nonpressurized",94640,305
Adventist Health Sonora - Greenley,"X-Ray, Chest, two views",71046,485
Adventist Health Sonora - Greenley,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1067
Adventist Health Sonora - Greenley,"Ultrasound, Abdomen, Complete",76700,1601
Adventist Health Sonora - Greenley,"MRI, Brain, without contrast, followed by contrast",70553,7023
Adventist Health Sonora - Greenley,"Mammography, Screening, Bilateral",77067,507
Adventist Health Sonora - Greenley,"CT Scan, Head or Brain, without contrast",70450,4039
Adventist Health Sonora - Greenley,"CT Scan, Abdomen, with contrast",74160,3585
Adventist Health Sonora - Greenley,Thyroid Stimulating Hormone,84443,157
Adventist Health Sonora - Greenley,"Troponin, Quantitative",84484,190
Adventist Health Sonora - Greenley,Prothrombin Time,85610,118
Adventist Health Sonora - Greenley,Partial Thromboplastin Time,85730,132
Adventist Health Sonora - Greenley,Lipid Panel,80061,166
Adventist Health Sonora - Greenley,Comprehensive Metabolic Panel,80053,215
Adventist Health Sonora - Greenley,"Complete Blood Count, with differential WBC, automated",85025,122
Adventist Health Sonora - Greenley,"Complete Blood Count, automated",85027,102
Adventist Health Sonora - Greenley,Basic Metabolic Panel,80048,157
Adventist Health Sonora - Greenley,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,883
Adventist Health Sonora - Greenley,"Emergency Room Visit, Level 3 (moderate severity)",99283,622
Adventist Health Sonora - Greenley,"Urinalysis, with microscopy",81001,107
Adventist Health Sonora - Greenley,"Creatine Kinase (CK), (CPK), Total",82550,103
Adventist Health Sonora - Greenley,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,1420
Adventist Health St Helena,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,41057
Adventist Health St Helena,Lipid Panel,80061,140.9830212
Adventist Health St Helena,Partial Thromboplastin Time,85730,134.6098501
Adventist Health St Helena,Prothrombin Time,85610,106.0278231
Adventist Health St Helena,Thyroid Stimulating Hormone,84443,263.591008
Adventist Health St Helena,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,48262.4
Adventist Health St Helena,"Arthroscopy, Shoulder, with partial acromioplasty",29826,85024.5
Adventist Health St Helena,Carpal Tunnel Surgery,64721,33906.11842
Adventist Health St Helena,Basic Metabolic Panel,80048,300
Adventist Health St Helena,"Colonoscopy, diagnostic",45378,9801.94975
Adventist Health St Helena,"Colonoscopy, with biopsy",45380,13931.03872
Adventist Health St Helena,"Colonoscopy, with lesion removal, by snare technique",45385,14520.27881
Adventist Health St Helena,Comprehensive Metabolic Panel,80053,318
Adventist Health St Helena,"Endoscopy, Upper GI, with biopsy",43239,14227.34463
Adventist Health St Helena,"Arthroplasty, knee, condyle and plateau; medial AND lateral",27447,180840.7415
Adventist Health St Helena,"Esophagogastroduodenoscopy, flexible, transoral; with biopsy, single or multiple",43239,14227.34463
Adventist Health St Helena,TOTAL HIP ARTHROPLASTY,27130,161153.7766
Adventist Health St Helena,Cystourethroscopy (separate procedure),52000,8872.251298
Adventist Health St Helena,Revision of Knee Joint,27446,158681.66
Adventist Health St Helena,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,5616
Adventist Health St Helena,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,4012
Adventist Health St Helena,"Emergency Room Visit, Level 3 (moderate severity)",99283,2866
Adventist Health St Helena,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1720
Adventist Health St Helena,"Endoscopy, Upper GI, diagnostic",43235,11213.19048
Adventist Health St Helena,"Complete Blood Count, with differential WBC, automated",85025,128
Adventist Health Ukiah Valley,Comprehensive Metabolic Panel,80053,163
Adventist Health Ukiah Valley,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,6501.718929
Adventist Health Ukiah Valley,"Excision, Breast Lesion, without preoperative radiological marker",19120,14255.85485
Adventist Health Ukiah Valley,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1004
Adventist Health Ukiah Valley,"Emergency Room Visit, Level 3 (moderate severity)",99283,1732
Adventist Health Ukiah Valley,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,3234
Adventist Health Ukiah Valley,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,3565
Adventist Health Ukiah Valley,"Outpatient Visit, established patient, 15 minutes",99213,125.96
Adventist Health Ukiah Valley,Basic Metabolic Panel,80048,148
Adventist Health Ukiah Valley,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,6501.718929
Adventist Health Ukiah Valley,"Hernia Repair, Inguinal, 5 years and older",49505,30199.23762
Adventist Health Ukiah Valley,"Complete Blood Count, with differential WBC, automated",85025,116
Adventist Health Ukiah Valley,"Endoscopy, Upper GI, diagnostic",43235,5259.871622
Adventist Health Ukiah Valley,"Colonoscopy, with biopsy",45380,6766.895504
Adventist Health Ukiah Valley,"Colonoscopy, diagnostic",45378,5012.041341
Adventist Health Ukiah Valley,Laparoscopic Cholecystectomy,47562,27197.85667
Adventist Health Ukiah Valley,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,9342.173944
Adventist Health Ukiah Valley,Carpal Tunnel Surgery,64721,15126.984
Adventist Health Ukiah Valley,"Endoscopy, Upper GI, with biopsy",43239,6651.696067
Adventist Health Ukiah Valley,"Complete Blood Count, automated",85027,114
Adventist Health Ukiah Valley,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,23102.79231
Adventist Health Ukiah Valley,Thyroid Stimulating Hormone,84443,223.1871509
Adventist Health Ukiah Valley,Lipid Panel,80061,229.81
Adventist Health Ukiah Valley,Partial Thromboplastin Time,85730,121.85
Adventist Health Ukiah Valley,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,6410.15
Adventist Health Ukiah Valley,"Colonoscopy, with lesion removal, by snare technique",45385,6805.594839
Adventist Health Vallejo,PSYCH GROUP PHP Partial Hospitalization,90853,641
Adventist Health Vallejo,PSYCH TX W/PT/FAM 45 M - Psych OP,90834,641
Adventist Health White Memorial,"Urinalysis, without microscopy",81002,100
Adventist Health White Memorial,"Urinalysis, without microscopy",81003,100
Adventist Health White Memorial,"CT Scan, Abdomen, with contrast",74160,6315.6
Adventist Health White Memorial,"Troponin, Quantitative",84484,583
Adventist Health White Memorial,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1691
Adventist Health White Memorial,"Emergency Room Visit, Level 3 (moderate severity)",99283,2545
Adventist Health White Memorial,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,3394
Adventist Health White Memorial,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,4232
Adventist Health White Memorial,"Creatine Kinase (CK), (CPK), Total",82550,409
Adventist Health White Memorial,Comprehensive Metabolic Panel,80053,1058
Adventist Health White Memorial,"Complete Blood Count, with differential WBC, automated",85025,430
Adventist Health White Memorial,"Complete Blood Count, automated",85027,297
Adventist Health White Memorial,"Blood Gas Analysis, including 02 saturation",82805,668
Adventist Health White Memorial,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,1919
Adventist Health White Memorial,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,1919
Adventist Health White Memorial,Lipid Panel,80061,611
Adventist Health White Memorial,"Physical Therapy, Evaluation",97162,1214
Adventist Health White Memorial,"CT Scan, Head or Brain, without contrast",70450,7315
Adventist Health White Memorial,"CT Scan, Pelvis, with contrast",72193,7463
Adventist Health White Memorial,"Mammography, Screening, Bilateral",77067,1391
Adventist Health White Memorial,"MRI, Brain, without contrast, followed by contrast",70553,12516
Adventist Health White Memorial,"Ultrasound, Abdomen, Complete",76700,3993
Adventist Health White Memorial,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1536
Adventist Health White Memorial,"X-Ray, Lower Back, minimum four views",72110,1617
Adventist Health White Memorial,"X-Ray, Chest, two views",71046,1138
Adventist Health White Memorial,"Cardiac Catheterization, Left Heart, percutaneous ",93452,15483
Adventist Health White Memorial,"Echocardiography, Transthoracic, complete, without Doppler",93307,4351
Adventist Health White Memorial,"Inhalation Treatment, pressurized or nonpressurized",94640,492
Adventist Health White Memorial,"Physical Therapy, Gait Training",97116,321
Adventist Health White Memorial,"Physical Therapy, Therapeutic Exercise",97110,298
Adventist Health White Memorial,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,419
Adventist Health White Memorial,Thyroid Stimulating Hormone,84443,505
Adventist Health White Memorial,Prothrombin Time,85610,276
Adventist Health White Memorial,Partial Thromboplastin Time,85730,340
Adventist Health White Memorial,Basic Metabolic Panel,80048,604
Adventist Health White Memorial,"Physical Therapy, Evaluation",97161,1214
Adventist Health White Memorial,"Physical Therapy, Evaluation",97163,1214
Adventist Health White Memorial,"Outpatient Visit, established patient, 15 minutes",99213,144
Adventist Medical Center - Hanford,"Urinalysis, with microscopy",81000,80.95
Adventist Medical Center - Hanford,"Urinalysis, with microscopy",81001,80.95
Adventist Medical Center - Hanford,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1224.01
Adventist Medical Center - Hanford,Thyroid Stimulating Hormone,84443,169.99
Adventist Medical Center - Hanford,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1426.4
Adventist Medical Center - Hanford,"Emergency Room Visit, Level 3 (moderate severity)",99283,2150.46
Adventist Medical Center - Hanford,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,2754.78
Adventist Medical Center - Hanford,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,3601.36
Adventist Medical Center - Hanford,Basic Metabolic Panel,80048,198.41
Adventist Medical Center - Hanford,"Complete Blood Count, with differential WBC, automated",85025,127.13
Adventist Medical Center - Hanford,Comprehensive Metabolic Panel,80053,301.24
Adventist Medical Center - Hanford,Lipid Panel,80061,252.04
Adventist Medical Center - Hanford,Partial Thromboplastin Time,85730,117.88
Adventist Medical Center - Hanford,Prothrombin Time,85610,103.54
Adventist Medical Center - Hanford,"Creatine Kinase (CK), (CPK), Total",82550,125.08
Adventist Medical Center - Hanford,"CT Scan, Head or Brain, without contrast",70450,2819.06
Adventist Medical Center - Hanford,"Mammography, Screening, Bilateral",77067,499.98
Adventist Medical Center - Hanford,"MRI, Brain, without contrast, followed by contrast",70553,7055.37
Adventist Medical Center - Hanford,"Ultrasound, Abdomen, Complete",76700,1224.01
Adventist Medical Center - Hanford,"X-Ray, Lower Back, minimum four views",72110,976.07
Adventist Medical Center - Hanford,"X-Ray, Chest, two views",71046,569.13
Adventist Medical Center - Hanford,"Inhalation Treatment, pressurized or nonpressurized",94640,535.29
Adventist Medical Center - Hanford,"Physical Therapy, Evaluation",97162,337.17
Adventist Medical Center - Hanford,"Physical Therapy, Gait Training",97116,140.14
Adventist Medical Center - Hanford,"Physical Therapy, Therapeutic Exercise",97110,140.14
Adventist Medical Center - Hanford,"Troponin, Quantitative",84484,176.45
Alameda Hospital,EMERGENCY ROOM VISIT LEVEL 1 LIMITED/MINOR,99281,624
Alameda Hospital,EMERGENCY ROOM VISIT LEVEL 2 LOW SEVERITY,99282,1062
Alameda Hospital,EMERGENCY ROOM VISIT LEVEL 5 HIGH SEVERITY,99285,4869
Alameda Hospital,EMERGENCY ROOM VISIT LEVEL 3 MOD SEVERITY,99283,1772
Alameda Hospital,  X-RAY EXAM OF SHOULDER 2+ VIEWS,73030,777
Alameda Hospital,  X-RAY EXAM OF ANKLE 3+ VIEWS,73610,809
Alameda Hospital,  X-RAY EXAM OF FOOT; 3+ VIEWS,73630,770
Alameda Hospital,THERAPEUTIC EXERCISES EA 15 MINS,97110,281
Alameda Hospital,12 LEAD EKG; TRACING ONLY,93005,582
Alameda Hospital,THER/PROPH/DIAG IV INF INIT =<1 HR,96365,861
Alameda Hospital,MANUAL THERAPY EA 15 MINS,97140,207
Alameda Hospital,THER/PROPH/DIAG INJ SC/IM,96372,248
Alameda Hospital,SLCTV WND DEBRIDEM 20 CM OR <,97597,842
Alameda Hospital,AIRWAY INHALATION TREATMENT,94640,457
Alameda Hospital,CHEMICAL CAUTERIZATION OF GRANULATION TISSUE,17250,53559.07
Alameda Hospital,SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.5CM/<,12001,3083.11
Alameda Hospital,APPLY SHORT ARM SPLINT STATIC,29125,4927.54
Alameda Hospital,EMERGENCY ROOM VISIT LEVEL 4 HIGH/URGENT SEVERITY,99284,3404
Alameda Hospital,INCISION & DRAINAGE ABSCESS SIMPLE/SINGLE,10060,3222.84
Alameda Hospital,  SCR MAMMO BI INCL CAD,77067,483
Alameda Hospital,APPLY SHORT LEG SPLINT,29515,3927.9
Alameda Hospital,  FLUOROSCOPY <1 HR PHYS/QHP,76000,826
Alameda Hospital,  X-RAY EXAM CHEST 1 VIEW,71045,460
Alameda Hospital,OUTPATIENT CLINIC VISIT NEW PATIENT DETAILED,99203,464
Alameda Hospital,COMPL CBC W PLT W AUTOM DIFF,85025,253
Alameda Hospital,COMPREHENSIVE METABOLIC PANEL,80053,564
Alameda Hospital,AUTOM URINALYSIS WO MICRO,81003,119
Alameda Hospital,ASSAY OF TROPONIN QUANTITATIVE,84484,342
Alameda Hospital,BASIC METABOLIC PANEL CALCIUM TOTAL,80048,442
